scenario,workload,run_id,slo_violations,slo_violation_duration_sec,proactive_adjustments,reactive_adjustments,avg_reaction_time_ms,p99_latency_ms,error_rate,timestamp
s3-hybrid-reactive,spike,79,10,209,0,15,5214,217,0.014441062152768795,1768360189
s3-hybrid-reactive,spike,80,10,174,0,14,5613,245,0.016367302964863,1768360189
s3-hybrid-reactive,spike,81,11,211,0,13,5500,178,0.013914449553980614,1768360189
s3-hybrid-reactive,endurance,82,9,103,0,11,4453,167,0.009477545742674032,1768360189
s3-hybrid-reactive,endurance,83,6,139,0,9,3623,224,0.010995718462564258,1768360189
s3-hybrid-reactive,endurance,84,8,129,0,10,4013,168,0.009711056651077979,1768360189
s4-hybrid-predictive,spike,85,2,30,9,4,1645,183,0.008710517514277588,1768360189
s4-hybrid-predictive,spike,86,3,26,11,4,1792,156,0.008662795657598395,1768360189
s4-hybrid-predictive,spike,87,3,35,11,5,1609,180,0.008218404656627576,1768360189
s4-hybrid-predictive,endurance,88,2,16,10,3,988,171,0.004965601011231057,1768360189
s4-hybrid-predictive,endurance,89,2,17,12,3,1424,169,0.005111016804708459,1768360189
s4-hybrid-predictive,endurance,90,2,17,13,2,1413,134,0.004769583295988473,1768360189
