second,total_requests,rps,rps_scaled
1995-09-02 04:35:30+00:00,40,1.3333333333333333,44
1995-09-02 04:36:00+00:00,53,1.7666666666666666,58
1995-09-02 04:36:30+00:00,26,0.8666666666666667,29
1995-09-02 04:37:00+00:00,20,0.6666666666666666,22
1995-09-02 04:37:30+00:00,55,1.8333333333333333,60
1995-09-02 04:38:00+00:00,34,1.1333333333333333,37
1995-09-02 04:38:30+00:00,55,1.8333333333333333,60
1995-09-02 04:39:00+00:00,56,1.8666666666666667,62
1995-09-02 04:39:30+00:00,70,2.3333333333333335,77
1995-09-02 04:40:00+00:00,92,3.066666666666667,101
1995-09-02 04:40:30+00:00,119,3.966666666666667,131
1995-09-02 04:41:00+00:00,70,2.3333333333333335,77
1995-09-02 04:41:30+00:00,64,2.1333333333333333,70
1995-09-02 04:42:00+00:00,44,1.4666666666666666,48
1995-09-02 04:42:30+00:00,126,4.2,139
1995-09-02 04:43:00+00:00,78,2.6,86
1995-09-02 04:43:30+00:00,66,2.2,73
1995-09-02 04:44:00+00:00,129,4.3,142
1995-09-02 04:44:30+00:00,149,4.966666666666667,164
1995-09-02 04:45:00+00:00,105,3.5,116
1995-09-02 04:45:30+00:00,110,3.6666666666666665,121
1995-09-02 04:46:00+00:00,108,3.6,119
1995-09-02 04:46:30+00:00,72,2.4,79
1995-09-02 04:47:00+00:00,61,2.033333333333333,67
1995-09-02 04:47:30+00:00,84,2.8,92
1995-09-02 04:48:00+00:00,43,1.4333333333333333,47
1995-09-02 04:48:30+00:00,42,1.4,46
1995-09-02 04:49:00+00:00,36,1.2,40
1995-09-02 04:49:30+00:00,66,2.2,73
1995-09-02 04:50:00+00:00,63,2.1,69
1995-09-02 04:50:30+00:00,66,2.2,73
1995-09-02 04:51:00+00:00,103,3.433333333333333,113
1995-09-02 04:51:30+00:00,71,2.3666666666666667,78
1995-09-02 04:52:00+00:00,40,1.3333333333333333,44
1995-09-02 04:52:30+00:00,39,1.3,43
1995-09-02 04:53:00+00:00,54,1.8,59
1995-09-02 04:53:30+00:00,34,1.1333333333333333,37
1995-09-02 04:54:00+00:00,36,1.2,40
1995-09-02 04:54:30+00:00,39,1.3,43
1995-09-02 04:55:00+00:00,49,1.6333333333333333,54
