2026-07-05 21:35:25 [info     ] SLOMonitor initialized         threshold_ms=200.0 violation_window=30
2026-07-05 21:35:25 [info     ] Algorithm1Controller initialized cooldown=15 weight_step=10
2026-07-05 21:35:25 [info     ] HAProxyWeightAdjuster initialized backend=servers host=localhost port=19999
2026-07-05 21:35:25 [info     ] GRUClient initialized          base_url=http://localhost:8090
2026-07-05 21:35:25 [info     ] K8sScaler initialized          deployment=test-app-warm namespace=default
2026-07-05 21:35:25 [info     ] RoutingDaemon initialized      decision_interval=15 description='Static routing to K8s cluster only' scenario=s1-k8s-only use_algorithm=False use_predictions=False
2026-07-05 21:35:25 [info     ] Starting routing daemon        interval=15 scenario=s1-k8s-only
2026-07-05 21:35:25 [info     ] Weights updated                k3s=100 knative=0
2026-07-05 21:35:25 [info     ] Initial weights applied        k3s=100 knative=0
2026-07-05 21:35:25 [error    ] HPA conflict detected — Algorithm 2 manual scaling may conflict with HPA deployment=test-app-warm hpa_name=test-app-warm
2026-07-05 21:35:25 [error    ] HPA detected — Algorithm 2 scaling may conflict with HPA
2026-07-05 21:35:25 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:35:40 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:35:55 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:36:10 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:36:25 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:36:40 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:36:55 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:37:10 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:37:25 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:37:40 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:37:55 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:38:11 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:38:26 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:38:41 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:38:56 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:39:11 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:39:26 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:39:41 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:39:56 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:40:11 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:40:26 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:40:41 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:40:56 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:41:11 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:41:26 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:41:41 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:41:56 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:42:11 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-05 21:42:13 [info     ] Received shutdown signal
2026-07-05 21:42:13 [info     ] Stopping routing daemon...
2026-07-05 21:42:13 [info     ] Routing daemon stopped
