2026-09-13 02:46:50 [info     ] SLOMonitor initialized         threshold_ms=200.0 violation_window=30
2026-09-13 02:46:50 [info     ] Algorithm1Controller initialized cooldown=15 weight_step=10
2026-09-13 02:46:50 [info     ] controller_selected            kind=Algorithm1Controller scenario=s1-k8s-only version=v3
2026-09-13 02:46:50 [info     ] HAProxyWeightAdjuster initialized backend=servers host=localhost port=19999
2026-09-13 02:46:50 [info     ] GRUClient initialized          base_url=http://localhost:8090
2026-09-13 02:46:50 [info     ] K8sScaler initialized          deployment=test-app-warm namespace=default
2026-09-13 02:46:50 [info     ] RoutingDaemon initialized      decision_interval=15 description='Static routing to K8s cluster only' scenario=s1-k8s-only use_algorithm=False use_predictions=False
2026-09-13 02:46:50 [info     ] Starting routing daemon        interval=15 scenario=s1-k8s-only
2026-09-13 02:46:50 [info     ] Weights updated                k3s=100 knative=0
2026-09-13 02:46:50 [info     ] Initial weights applied        k3s=100 knative=0
2026-09-13 02:46:50 [error    ] HPA conflict detected — Algorithm 2 manual scaling may conflict with HPA deployment=test-app-warm hpa_name=test-app-warm
2026-09-13 02:46:50 [error    ] HPA detected — Algorithm 2 scaling may conflict with HPA
2026-09-13 02:46:50 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:47:05 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:47:20 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:47:35 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:47:50 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:48:05 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:48:20 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:48:35 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:48:50 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:49:05 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:49:20 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:49:36 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:49:51 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:50:06 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-09-13 02:50:21 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
