var_i,var_j,n,rho,p
throughput_rps,p99_latency_ms,10,0.0667,0.85481
throughput_rps,slo_violations_k6,10,0.0667,0.85481
throughput_rps,time_in_serverless_pct,10,-0.3385,0.33866
throughput_rps,knative_active_seconds,10,-0.3385,0.33866
throughput_rps,k8s_replica_seconds,10,0.3222,0.36393
throughput_rps,scale_out_count,10,-0.2604,0.46744
throughput_rps,predictive_count,10,0.0603,0.86857
throughput_rps,desired_replicas_final,10,0.2747,0.44240
p99_latency_ms,slo_violations_k6,10,1.0000,0.00000
p99_latency_ms,time_in_serverless_pct,10,0.3060,0.38990
p99_latency_ms,knative_active_seconds,10,0.3060,0.38990
p99_latency_ms,k8s_replica_seconds,10,-0.6201,0.05582
p99_latency_ms,scale_out_count,10,0.6185,0.05664
p99_latency_ms,predictive_count,10,-0.7236,0.01800
p99_latency_ms,desired_replicas_final,10,-0.7504,0.01240
slo_violations_k6,time_in_serverless_pct,10,0.3060,0.38990
slo_violations_k6,knative_active_seconds,10,0.3060,0.38990
slo_violations_k6,k8s_replica_seconds,10,-0.6201,0.05582
slo_violations_k6,scale_out_count,10,0.6185,0.05664
slo_violations_k6,predictive_count,10,-0.7236,0.01800
slo_violations_k6,desired_replicas_final,10,-0.7504,0.01240
time_in_serverless_pct,knative_active_seconds,10,1.0000,0.00000
time_in_serverless_pct,k8s_replica_seconds,10,-0.8424,0.00222
time_in_serverless_pct,scale_out_count,10,0.8741,0.00094
time_in_serverless_pct,predictive_count,10,-0.5974,0.06821
time_in_serverless_pct,desired_replicas_final,10,-0.6801,0.03045
knative_active_seconds,k8s_replica_seconds,10,-0.8424,0.00222
knative_active_seconds,scale_out_count,10,0.8741,0.00094
knative_active_seconds,predictive_count,10,-0.5974,0.06821
knative_active_seconds,desired_replicas_final,10,-0.6801,0.03045
k8s_replica_seconds,scale_out_count,10,-0.8815,0.00074
k8s_replica_seconds,predictive_count,10,0.7729,0.00876
k8s_replica_seconds,desired_replicas_final,10,0.8401,0.00235
scale_out_count,predictive_count,10,-0.8997,0.00039
scale_out_count,desired_replicas_final,10,-0.9176,0.00018
predictive_count,desired_replicas_final,10,0.9259,0.00012
